Regular Season ,,,,,,,,,,,,
Season,FG%,3P%,FT%,TRB,AST,STL,BLK,PTS,,,,  
2003-04,41.7%,29.0%,75.4%,5.5,5.9,1.6,0.7,20.9,,,,
2004-05,47.2%,35.1%,75.0%,7.4,7.2,2.2,0.7,27.2,,,,
2005-06,48.0%,33.5%,73.8%,7,6.6,1.6,0.8,31.4,,,,
2006-07,47.6%,31.9%,69.8%,6.7,6,1.6,0.7,27.3,,,,
2007-08,48.4%,31.5%,71.2%,7.9,7.2,1.8,1.1,30,,,,
2008-09,48.9%,34.4%,78.0%,7.6,7.2,1.7,1.1,28.4,,,,
2009-10,50.3%,33.3%,76.7%,7.3,8.6,1.6,1,29.7,,,,
2010-11,51.0%,33.0%,75.9%,7.5,7,1.6,0.6,26.7,,,,
2011-12,53.1%,36.2%,77.1%,7.9,6.2,1.9,0.8,27.1,,,,
2012-13,56.5%,40.6%,75.3%,8,7.3,1.7,0.9,26.8,,,,
2013-14,56.7%,37.9%,75.0%,6.9,6.3,1.6,0.3,27.1,,,,
2014-15,48.8%,35.4%,71.0%,6,7.4,1.6,0.7,25.3,,,,
2015-16,52.0%,30.9%,73.1%,7.4,6.8,1.4,0.6,25.3,,,,
2016-17,54.8%,36.3%,67.4%,8.6,8.7,1.2,0.6,26.4,,,,
2017-18,54.2%,36.7%,73.1%,8.6,9.1,1.4,0.9,27.5,,,,
2018-19,51.0%,33.9%,66.5%,8.5,8.3,1.3,0.6,27.4,,,,
2019-20,49.3%,34.8%,69.3%,7.8,10.2,1.2,0.5,25.3,,,,
2020-21,51.3%,36.5%,69.8%,7.7,7.8,1.1,0.6,25,,,,
2021-22,52.4%,35.9%,75.6%,8.2,6.2,1.3,1.1,30.3,,,,,,,,,,,,,,,,,,,,,,
2022-23,50.0%,32.1%,76.8%,8.3,6.8,0.9,0.6,28.9,,,,,,,,,,,,,,,,,,,,,,
2023-24,54.0%,41.0%,75.0%,7.3,8.3,1.3,0.5,25.7,,,,,,,,,,,,,,,,,,,,,,
Career,50.6%,34.8%,73.6%,7.5,7.4,1.5,0.7,27.1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Playoffs,,,,,,,,,,,,,,,,,,
Season,FG%,3P%,FT%,TRB,AST,STL,BLK,PTS,,,,,,,,,,
2005-06,47.6%,33.3%,73.7%,8.1,5.8,1.4,0.7,30.8,,,,,,,,,,
2006-07,41.6%,28.0%,75.5%,8.1,8,1.7,0.5,25.1,,,,,,,,,,
2007-08,41.1%,25.7%,73.1%,7.8,7.6,1.8,1.3,28.2,,,,,,,,,,
2008-09,51.0%,33.3%,74.9%,9.1,7.3,1.6,0.9,35.3,,,,,,,,,,
2009-10,50.2%,40.0%,73.3%,9.3,7.6,1.7,1.8,29.1,,,,,,,,,,
2010-11,46.6%,35.3%,76.3%,8.4,5.9,1.7,1.2,23.7,,,,,,,,,,
2011-12,50.0%,25.9%,73.9%,9.7,5.6,1.9,0.7,30.3,,,,,,,,,,
2012-13,49.1%,37.5%,77.7%,8.4,6.6,1.8,0.8,25.9,,,,,,,,,,
2013-14,56.5%,40.7%,80.6%,7.1,4.8,1.8,0.6,27.4,,,,,,,,,,
2014-15,41.7%,22.7%,73.1%,11.3,8.5,1.7,1.1,30.1,,,,,,,,,,
2015-16,52.5%,34.0%,66.1%,9.5,7.6,2.3,1.3,26.3,,,,,,,,,,
2016-17,56.5%,41.1%,69.8%,9.1,7.8,1.9,1.3,32.8,,,,,,,,,,
2017-18,53.9%,34.2%,74.6%,9.1,9,1.4,1,34,,,,,,,,,,
2019-20,56.0%,37.0%,72.0%,10.8,8.8,1.2,0.9,27.6,,,,,,,,,,
2020-21,47.4%,37.5%,60.9%,7.2,8,1.5,0.3,23.3,,,,,,,,,,
2022-23,49.8%,26.4%,76.1%,9.9,6.5,1.1,1.1,24.5,,,,,,,,,,
2023-24,56.6%,38.5%,73.9%,6.8,8.8,2.4,1,27.8,,,,,,,,,,
Career,49.7%,33.2%,74.1%,9,7.2,1.7,1,28.4,,,,,,,,,,
